query,len,len_bucket,coles_cnt,wws_search_cnt,coles_url
mccains rosemary sweet potato,4,3,1,1,https://www.coles.com.au/search?q=mccains%20rosemary%20sweet%20potato
light and tangy chips,4,3,1,1,https://www.coles.com.au/search?q=light%20and%20tangy%20chips
coles thick egg noodles,4,3,1,1,https://www.coles.com.au/search?q=coles%20thick%20egg%20noodles
coles white choc buttons,4,3,1,1,https://www.coles.com.au/search?q=coles%20white%20choc%20buttons
coles sweet potato pie,4,3,1,1,https://www.coles.com.au/search?q=coles%20sweet%20potato%20pie
cook dine cooking string,4,3,1,1,https://www.coles.com.au/search?q=cook%20dine%20cooking%20string
sukin rosehip day cream,4,3,1,1,https://www.coles.com.au/search?q=sukin%20rosehip%20day%20cream
nestle reduced fat cream,4,3,1,1,https://www.coles.com.au/search?q=nestle%20reduced%20fat%20cream
freedom fruit seeds muesli,4,3,1,1,https://www.coles.com.au/search?q=freedom%20fruit%20seeds%20muesli
canesten athlete foot cream,4,3,1,1,https://www.coles.com.au/search?q=canesten%20athlete%20foot%20cream
gluten free waffle cones,4,3,1,1,https://www.coles.com.au/search?q=gluten%20free%20waffle%20cones
carmans oat slice chocolate brownie,5,3,1,1,https://www.coles.com.au/search?q=carmans%20oat%20slice%20chocolate%20brownie
life space probiotic years tablets,5,3,1,1,https://www.coles.com.au/search?q=life%20space%20probiotic%20years%20tablets
smooth and creamy coffee,4,3,1,1,https://www.coles.com.au/search?q=smooth%20and%20creamy%20coffee
green tea jasmine and pear,5,3,1,1,https://www.coles.com.au/search?q=green%20tea%20jasmine%20and%20pear
lee kum kee gluten free,5,3,1,1,https://www.coles.com.au/search?q=lee%20kum%20kee%20gluten%20free
easy off drain gel,4,3,1,1,https://www.coles.com.au/search?q=easy%20off%20drain%20gel
aunt bettys whipped cream,4,3,1,1,https://www.coles.com.au/search?q=aunt%20bettys%20whipped%20cream
nature own sleep ezy,4,3,1,1,https://www.coles.com.au/search?q=nature%20own%20sleep%20ezy
john west sweet chilli,4,3,1,1,https://www.coles.com.au/search?q=john%20west%20sweet%20chilli
cookies and cream greens,4,3,1,1,https://www.coles.com.au/search?q=cookies%20and%20cream%20greens
toni guy leave in,4,3,1,1,https://www.coles.com.au/search?q=toni%20guy%20leave%20in
sugar free butter candy,4,3,1,1,https://www.coles.com.au/search?q=sugar%20free%20butter%20candy
pauls low fat choc,4,3,1,1,https://www.coles.com.au/search?q=pauls%20low%20fat%20choc
takoyaki,1,1,1,2,https://www.coles.com.au/search?q=takoyaki
dutch potato,2,1,1,2,https://www.coles.com.au/search?q=dutch%20potato
cocktail tomatoes,2,1,1,2,https://www.coles.com.au/search?q=cocktail%20tomatoes
